Untitled Adhoc Report,,
Product:LIQUID HAND SOAP,,
Geography,Time,Unit Sales
Louisiana - Multi Outlet,Week Ending 02-02-20,78851.81726
Louisiana - Multi Outlet,Week Ending 02-09-20,87522.06836
Louisiana - Multi Outlet,Week Ending 02-16-20,84846.1437
Louisiana - Multi Outlet,Week Ending 02-23-20,79872.3892
Louisiana - Multi Outlet,Week Ending 03-01-20,98040.6891
Louisiana - Multi Outlet,Week Ending 03-08-20,180182.6261
Louisiana - Multi Outlet,Week Ending 03-15-20,376472.8716
Louisiana - Multi Outlet,Week Ending 03-22-20,256559.1218
Maine - Multi Outlet,Week Ending 12-08-19,27247.44062
Maine - Multi Outlet,Week Ending 12-15-19,27499.24854
Maine - Multi Outlet,Week Ending 12-22-19,28346.00453
Maine - Multi Outlet,Week Ending 12-29-19,27980.4915
Maine - Multi Outlet,Week Ending 01-05-20,27339.26106
Maine - Multi Outlet,Week Ending 01-12-20,26068.59183
Maine - Multi Outlet,Week Ending 01-19-20,23247.38465
Maine - Multi Outlet,Week Ending 01-26-20,23756.59966
Maine - Multi Outlet,Week Ending 02-02-20,24928.95026
Maine - Multi Outlet,Week Ending 02-09-20,24906.09725
Maine - Multi Outlet,Week Ending 02-16-20,27028.79777
Maine - Multi Outlet,Week Ending 02-23-20,26667.48069
Maine - Multi Outlet,Week Ending 03-01-20,31725.6523
Maine - Multi Outlet,Week Ending 03-08-20,59510.40468
Maine - Multi Outlet,Week Ending 03-15-20,101935.9341
Maine - Multi Outlet,Week Ending 03-22-20,78917.21167
Maryland - Multi Outlet,Week Ending 12-08-19,129703.176
Maryland - Multi Outlet,Week Ending 12-15-19,123477.2594
Maryland - Multi Outlet,Week Ending 12-22-19,124475.9812
Maryland - Multi Outlet,Week Ending 12-29-19,127292.5094
Maryland - Multi Outlet,Week Ending 01-05-20,132913.8681
Maryland - Multi Outlet,Week Ending 01-12-20,120370.5523
Maryland - Multi Outlet,Week Ending 01-19-20,121761.5181
Maryland - Multi Outlet,Week Ending 01-26-20,128124.8874
Maryland - Multi Outlet,Week Ending 02-02-20,132351.4519
Maryland - Multi Outlet,Week Ending 02-09-20,134627.7721
Maryland - Multi Outlet,Week Ending 02-16-20,130811.8237
Maryland - Multi Outlet,Week Ending 02-23-20,134168.4612
Maryland - Multi Outlet,Week Ending 03-01-20,183814.0057
Maryland - Multi Outlet,Week Ending 03-08-20,338222.3557
Maryland - Multi Outlet,Week Ending 03-15-20,479888.0592
Maryland - Multi Outlet,Week Ending 03-22-20,350024.0078
Massachusetts - Multi Outlet,Week Ending 12-08-19,135914.6739
Massachusetts - Multi Outlet,Week Ending 12-15-19,136742.597
Massachusetts - Multi Outlet,Week Ending 12-22-19,131880.8222
Massachusetts - Multi Outlet,Week Ending 12-29-19,129000.023
Massachusetts - Multi Outlet,Week Ending 01-05-20,136923.8788
Massachusetts - Multi Outlet,Week Ending 01-12-20,136744.245
Massachusetts - Multi Outlet,Week Ending 01-19-20,139254.0965
Massachusetts - Multi Outlet,Week Ending 01-26-20,133392.0899
Massachusetts - Multi Outlet,Week Ending 02-02-20,138969.2743
Massachusetts - Multi Outlet,Week Ending 02-09-20,148160.3985
Massachusetts - Multi Outlet,Week Ending 02-16-20,137433.344
Massachusetts - Multi Outlet,Week Ending 02-23-20,144398.654
Massachusetts - Multi Outlet,Week Ending 03-01-20,190574.9068
Massachusetts - Multi Outlet,Week Ending 03-08-20,380137.452
Massachusetts - Multi Outlet,Week Ending 03-15-20,576120.4118
Massachusetts - Multi Outlet,Week Ending 03-22-20,432028.8241
Michigan - Multi Outlet,Week Ending 12-08-19,252764.7467
Michigan - Multi Outlet,Week Ending 12-15-19,248415.8249
Michigan - Multi Outlet,Week Ending 12-22-19,246192.2737
Michigan - Multi Outlet,Week Ending 12-29-19,240873.5066
Michigan - Multi Outlet,Week Ending 01-05-20,223858.2
Michigan - Multi Outlet,Week Ending 01-12-20,249348.4315
Michigan - Multi Outlet,Week Ending 01-19-20,224420.7091
Michigan - Multi Outlet,Week Ending 01-26-20,216451.6669
Michigan - Multi Outlet,Week Ending 02-02-20,232467.8277
Michigan - Multi Outlet,Week Ending 02-09-20,237075.0345
Michigan - Multi Outlet,Week Ending 02-16-20,244277.4048
Michigan - Multi Outlet,Week Ending 02-23-20,245114.3257
Michigan - Multi Outlet,Week Ending 03-01-20,291198.751
Michigan - Multi Outlet,Week Ending 03-08-20,462519.9542
Michigan - Multi Outlet,Week Ending 03-15-20,1091174.976
Michigan - Multi Outlet,Week Ending 03-22-20,746280.0434
Minnesota - Multi Outlet,Week Ending 12-08-19,124645.8058
Minnesota - Multi Outlet,Week Ending 12-15-19,118310.0446
Minnesota - Multi Outlet,Week Ending 12-22-19,121026.6144
Minnesota - Multi Outlet,Week Ending 12-29-19,107278.8762
Minnesota - Multi Outlet,Week Ending 01-05-20,108950.7327
Minnesota - Multi Outlet,Week Ending 01-12-20,107869.0826
Minnesota - Multi Outlet,Week Ending 01-19-20,99554.50252
Minnesota - Multi Outlet,Week Ending 01-26-20,102562.5022
Minnesota - Multi Outlet,Week Ending 02-02-20,108800.2315
Minnesota - Multi Outlet,Week Ending 02-09-20,116035.4334
Minnesota - Multi Outlet,Week Ending 02-16-20,111364.8458
Minnesota - Multi Outlet,Week Ending 02-23-20,114945.0083
Minnesota - Multi Outlet,Week Ending 03-01-20,149391.116
Minnesota - Multi Outlet,Week Ending 03-08-20,267400.5804
Minnesota - Multi Outlet,Week Ending 03-15-20,473792.2722
Minnesota - Multi Outlet,Week Ending 03-22-20,366693.7496
Mississippi - Multi Outlet,Week Ending 12-08-19,54244.73018
Mississippi - Multi Outlet,Week Ending 12-15-19,50727.4024
Mississippi - Multi Outlet,Week Ending 12-22-19,52479.51174
Mississippi - Multi Outlet,Week Ending 12-29-19,61497.99006
Mississippi - Multi Outlet,Week Ending 01-05-20,52794.51958
Mississippi - Multi Outlet,Week Ending 01-12-20,58604.83329
Mississippi - Multi Outlet,Week Ending 01-19-20,49046.86376
Mississippi - Multi Outlet,Week Ending 01-26-20,49031.49872
Mississippi - Multi Outlet,Week Ending 02-02-20,53024.06192
Mississippi - Multi Outlet,Week Ending 02-09-20,61306.61391
Mississippi - Multi Outlet,Week Ending 02-16-20,55942.05781
Mississippi - Multi Outlet,Week Ending 02-23-20,54336.40621
Mississippi - Multi Outlet,Week Ending 03-01-20,67391.3781
Mississippi - Multi Outlet,Week Ending 03-08-20,110287.8522
Mississippi - Multi Outlet,Week Ending 03-15-20,238028.125
Mississippi - Multi Outlet,Week Ending 03-22-20,185156.947
Missouri - Multi Outlet,Week Ending 12-08-19,131793.3737
Missouri - Multi Outlet,Week Ending 12-15-19,125011.7691
Missouri - Multi Outlet,Week Ending 12-22-19,119414.9508
Missouri - Multi Outlet,Week Ending 12-29-19,124987.1092
Missouri - Multi Outlet,Week Ending 01-05-20,122345.0101
Missouri - Multi Outlet,Week Ending 01-12-20,123745.2864
Missouri - Multi Outlet,Week Ending 01-19-20,110425.1985
Missouri - Multi Outlet,Week Ending 01-26-20,111863.5823
Missouri - Multi Outlet,Week Ending 02-02-20,123369.1401
Missouri - Multi Outlet,Week Ending 02-09-20,129036.0718
Missouri - Multi Outlet,Week Ending 02-16-20,124307.6947
Missouri - Multi Outlet,Week Ending 02-23-20,127553.2375
Missouri - Multi Outlet,Week Ending 03-01-20,155503.0352
Missouri - Multi Outlet,Week Ending 03-08-20,247735.8293
Missouri - Multi Outlet,Week Ending 03-15-20,489557.79
Missouri - Multi Outlet,Week Ending 03-22-20,367647.3237
Nebraska - Multi Outlet,Week Ending 12-08-19,41393.26233
Nebraska - Multi Outlet,Week Ending 12-15-19,39460.25731
Nebraska - Multi Outlet,Week Ending 12-22-19,39498.15361
Nebraska - Multi Outlet,Week Ending 12-29-19,38991.71881
Nebraska - Multi Outlet,Week Ending 01-05-20,36569.40312
Nebraska - Multi Outlet,Week Ending 01-12-20,42423.49918
Nebraska - Multi Outlet,Week Ending 01-19-20,35861.27124
Nebraska - Multi Outlet,Week Ending 01-26-20,34195.63187
Nebraska - Multi Outlet,Week Ending 02-02-20,39880.33641
Nebraska - Multi Outlet,Week Ending 02-09-20,40178.66714
Nebraska - Multi Outlet,Week Ending 02-16-20,40412.13415
Nebraska - Multi Outlet,Week Ending 02-23-20,39275.06157
Nebraska - Multi Outlet,Week Ending 03-01-20,52568.08482
Nebraska - Multi Outlet,Week Ending 03-08-20,104625.8841
Nebraska - Multi Outlet,Week Ending 03-15-20,171353.157
Nebraska - Multi Outlet,Week Ending 03-22-20,107871.5637
Nevada - Multi Outlet,Week Ending 12-08-19,59187.85891
Nevada - Multi Outlet,Week Ending 12-15-19,57066.72683
Nevada - Multi Outlet,Week Ending 12-22-19,58564.548
Nevada - Multi Outlet,Week Ending 12-29-19,62675.49141
Nevada - Multi Outlet,Week Ending 01-05-20,65825.05935
Nevada - Multi Outlet,Week Ending 01-12-20,66520.55886
Nevada - Multi Outlet,Week Ending 01-19-20,56877.11626
Nevada - Multi Outlet,Week Ending 01-26-20,58147.14677
Nevada - Multi Outlet,Week Ending 02-02-20,65586.8996
Nevada - Multi Outlet,Week Ending 02-09-20,65592.02297
Nevada - Multi Outlet,Week Ending 02-16-20,64734.47202
Nevada - Multi Outlet,Week Ending 02-23-20,64789.51506
Nevada - Multi Outlet,Week Ending 03-01-20,96287.61902
Nevada - Multi Outlet,Week Ending 03-08-20,186719.562
Nevada - Multi Outlet,Week Ending 03-15-20,228952.7808
Nevada - Multi Outlet,Week Ending 03-22-20,155831.5168
New Hampshire - Multi Outlet,Week Ending 12-08-19,35632.49833
New Hampshire - Multi Outlet,Week Ending 12-15-19,39016.20474
New Hampshire - Multi Outlet,Week Ending 12-22-19,38348.10318
New Hampshire - Multi Outlet,Week Ending 12-29-19,37754.11767
New Hampshire - Multi Outlet,Week Ending 01-05-20,38376.37163
New Hampshire - Multi Outlet,Week Ending 01-12-20,36759.11353
New Hampshire - Multi Outlet,Week Ending 01-19-20,36853.59381
New Hampshire - Multi Outlet,Week Ending 01-26-20,36517.18236
New Hampshire - Multi Outlet,Week Ending 02-02-20,35710.44008
New Hampshire - Multi Outlet,Week Ending 02-09-20,36360.6609
New Hampshire - Multi Outlet,Week Ending 02-16-20,37321.11532
New Hampshire - Multi Outlet,Week Ending 02-23-20,39821.35032
New Hampshire - Multi Outlet,Week Ending 03-01-20,45769.75389
New Hampshire - Multi Outlet,Week Ending 03-08-20,94407.39011
New Hampshire - Multi Outlet,Week Ending 03-15-20,143822.0662
New Hampshire - Multi Outlet,Week Ending 03-22-20,110083.6935
New Jersey - Multi Outlet,Week Ending 12-08-19,170526.1566
New Jersey - Multi Outlet,Week Ending 12-15-19,172101.7169
New Jersey - Multi Outlet,Week Ending 12-22-19,178264.6209
New Jersey - Multi Outlet,Week Ending 12-29-19,176841.5975
New Jersey - Multi Outlet,Week Ending 01-05-20,178208.4048
New Jersey - Multi Outlet,Week Ending 01-12-20,192698.927
New Jersey - Multi Outlet,Week Ending 01-19-20,182757.2797
New Jersey - Multi Outlet,Week Ending 01-26-20,195637.0832
New Jersey - Multi Outlet,Week Ending 02-02-20,186915.0464
New Jersey - Multi Outlet,Week Ending 02-09-20,198542.7227
New Jersey - Multi Outlet,Week Ending 02-16-20,181523.9383
New Jersey - Multi Outlet,Week Ending 02-23-20,183179.0523
New Jersey - Multi Outlet,Week Ending 03-01-20,243681.4811
New Jersey - Multi Outlet,Week Ending 03-08-20,565371.9244
New Jersey - Multi Outlet,Week Ending 03-15-20,794648.7804
New Jersey - Multi Outlet,Week Ending 03-22-20,504704.5774
New Mexico - Multi Outlet,Week Ending 12-08-19,46430.05425
New Mexico - Multi Outlet,Week Ending 12-15-19,41682.33072
New Mexico - Multi Outlet,Week Ending 12-22-19,42164.18207
New Mexico - Multi Outlet,Week Ending 12-29-19,42112.97788
New Mexico - Multi Outlet,Week Ending 01-05-20,44518.20982
New Mexico - Multi Outlet,Week Ending 01-12-20,45940.16218
New Mexico - Multi Outlet,Week Ending 01-19-20,41721.97187
New Mexico - Multi Outlet,Week Ending 01-26-20,42047.72558
New Mexico - Multi Outlet,Week Ending 02-02-20,43556.98361
New Mexico - Multi Outlet,Week Ending 02-09-20,47772.45881
New Mexico - Multi Outlet,Week Ending 02-16-20,45230.07069
New Mexico - Multi Outlet,Week Ending 02-23-20,46162.87195
New Mexico - Multi Outlet,Week Ending 03-01-20,57804.70949
New Mexico - Multi Outlet,Week Ending 03-08-20,109842.8897
New Mexico - Multi Outlet,Week Ending 03-15-20,178246.2269
New Mexico - Multi Outlet,Week Ending 03-22-20,114898.1559
New York - Multi Outlet,Week Ending 12-08-19,292888.0169
New York - Multi Outlet,Week Ending 12-15-19,297124.253
New York - Multi Outlet,Week Ending 12-22-19,289172.9991
New York - Multi Outlet,Week Ending 12-29-19,287698.0351
New York - Multi Outlet,Week Ending 01-05-20,290195.5902
New York - Multi Outlet,Week Ending 01-12-20,305236.9385
New York - Multi Outlet,Week Ending 01-19-20,295341.7549
New York - Multi Outlet,Week Ending 01-26-20,304725.8864
New York - Multi Outlet,Week Ending 02-02-20,307993.9881
